" There was an error occurred during paying process."," There was an error occurred during paying process."
"Bank","Bank"
"Credit Mutuel","Credit Mutuel"Fashionpay
"Customer returned from Fashionpay creditcard.","Customer returned from Fashionpay creditcard."
"Customer successfully returned from Fashionpay creditcard","Customer successfully returned from Fashionpay creditcard"
"Customer was redirected to Fashionpay creditcard","Customer was redirected to Fashionpay creditcard"
"CosmoCommerce creditcard Payment", "Fashionpay Creditcard Payment"
"Service Type","Service Type"
"Default Fashionpay creditcard Interface language","Default Fashionpay creditcard Interface language"
"Dutch","Dutch"
"Enabled","Enabled"
"English","English"
"Error occured","Error occured"
"French","French"
"German","German"
"Groupe CIC","Groupe CIC"
"Italian","Italian"
"Key","Key"
"Merchant No.","Merchant No."
"SignKey Code","Gateway corresponding key"
"Transport URL","Transaction gateway submitted address"
"New order status","New order status"
"OBC","OBC"
"Order %s","Order %s"
"Order number will be used if left empty","Order number will be used if left empty"
"Order status when payment accepted by Fashionpay creditcard", "Order status when payment accepted by Fashionpay creditcard"
"Order status when payment refused by Fashionpay creditcard", "Order status when payment refused by Fashionpay creditcard"Fashionpay
"Payment accepted by Fashionpay creditcard", "Payment accepted by Fashionpay creditcard"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Payment refused by Fashionpay creditcard", "Payment refused by Fashionpay creditcard"
"Preference will be given to store language chosen by the user", "Preference will be given to store language chosen by the user"
"Returned MAC is invalid. Order cancelled.","Returned MAC is invalid. Order cancelled."
"SHA key","SHA key"
"Site code","Site code"
"Sort order","Sort order"
"Spain","Spain"
"TPE number","TPE number"
"Test mode","Test mode"
"There was an error occurred during paying process.","There was an error occurred during paying process."
"Title","Title"
"Transaction Description","Transaction Description"
"You will be redirected to Fashionpay creditcard in a few seconds.","You will be redirected to Fashionpay creditcard in a few seconds."
"You will be redirected to Fashionpay creditcard website when you place an order.","You will be redirected to Fashionpay creditcard website when you place an order."
"Products","Products"
"Virtual Products","Virtual Products"
"Virtual Products2","Virtual Products2"
